training_base,testing_base,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,overall_accuracy,corruption_type
7,10,0.9918367346938776,0.9559471365638766,0.8924418604651163,0.9603960396039604,0.8207739307535642,0.9551569506726456,0.9342379958246346,0.8463035019455253,0.9075975359342916,0.929633300297324,0.9193,rotate
3,10,0.9918367346938776,0.9647577092511012,0.875,0.9316831683168316,0.8686354378818737,0.8486547085201793,0.894572025052192,0.8560311284046692,0.8521560574948666,0.8979187314172448,0.8994,rotate
6,10,0.9897959183673468,0.9348017621145376,0.9186046511627908,0.9574257425742574,0.869653767820774,0.9260089686098656,0.9123173277661796,0.6945525291828794,0.8439425051334702,0.9147670961347868,0.8959,rotate
99,10,0.9571428571428572,0.9198237885462556,0.9612403100775194,0.9534653465346534,0.790224032586558,0.9204035874439462,0.8705636743215032,0.6556420233463035,0.8347022587268994,0.9623389494549058,0.8826,rotate
4,10,0.9918367346938776,0.9251101321585904,0.8856589147286822,0.9435643564356436,0.8981670061099797,0.92152466367713,0.9206680584551148,0.8511673151750972,0.9075975359342916,0.956392467789891,0.9199,rotate
2,10,0.9806122448979592,0.9022026431718062,0.8410852713178295,0.9306930693069309,0.8492871690427699,0.804932735426009,0.9144050104384134,0.8638132295719845,0.8583162217659137,0.9197224975222992,0.8873,rotate
999,10,0.9959183673469388,0.9418502202643172,0.9331395348837208,0.9683168316831684,0.8737270875763747,0.945067264573991,0.9206680584551148,0.8394941634241245,0.908624229979466,0.9444995044598612,0.927,rotate
8,10,0.9989795918367348,0.9744493392070483,0.9622093023255814,0.9148514851485148,0.9714867617107944,0.8150224215246636,0.9707724425887264,0.9824902723735408,0.9743326488706364,0.937561942517344,0.9518,brightness
9,10,0.9979591836734694,1.0,0.9593023255813954,0.8960396039603961,0.9887983706720976,0.8923766816143498,0.9112734864300628,0.97568093385214,0.9383983572895276,0.9286422200198216,0.9502,brightness
5,10,0.9959183673469388,0.9832599118942732,0.9689922480620154,0.9574257425742574,0.9338085539714868,0.647982062780269,0.9206680584551148,0.946498054474708,0.9876796714579056,0.8999008919722498,0.9279,brightness
10,10,0.9938775510204082,0.99647577092511,0.9486434108527132,0.9782178217821782,0.984725050916497,0.9002242152466368,0.9718162839248434,0.970817120622568,0.971252566735113,0.9801783944499504,0.9706,brightness
7,10,0.996938775510204,0.9894273127753304,0.9670542635658916,0.9425742574257424,0.960285132382892,0.9719730941704036,0.9780793319415448,0.980544747081712,0.9599589322381932,0.9435084241823588,0.9692,brightness
3,10,0.9581632653061224,1.0,0.7199612403100775,0.6089108910891089,0.9674134419551936,0.1905829596412556,0.7494780793319415,0.8336575875486382,0.5667351129363449,0.2497522299306243,0.6931,brightness
6,10,0.9959183673469388,0.9973568281938326,0.938953488372093,0.6455445544554456,0.9867617107942972,0.8733183856502242,0.9457202505219208,0.9027237354085604,0.9383983572895276,0.8572844400396432,0.909,brightness
99,10,0.9897959183673468,0.99647577092511,0.9806201550387597,0.903960396039604,0.9745417515274948,0.8576233183856502,0.9457202505219208,0.8151750972762646,0.9271047227926078,0.954410307234886,0.9358,brightness
4,10,0.9948979591836736,0.9955947136563876,0.9476744186046512,0.904950495049505,0.9969450101832994,0.6278026905829597,0.9112734864300628,0.938715953307393,0.9137577002053388,0.9177403369672944,0.919,brightness
2,10,0.9540816326530612,0.9955947136563876,0.627906976744186,0.8782178217821782,0.6873727087576375,0.4192825112107623,0.7265135699373695,0.9912451361867703,0.6540041067761807,0.3498513379583746,0.7354,brightness
999,10,0.9979591836734694,1.0,0.9806201550387597,0.9495049504950496,0.9887983706720976,0.8688340807174888,0.9686847599164928,0.9834630350194552,0.971252566735113,0.9613478691774032,0.9685,brightness
8,10,0.3581632653061224,0.4088105726872246,0.6453488372093024,0.4900990099009901,0.5936863543788188,0.5739910313901345,0.395615866388309,0.5875486381322957,0.3141683778234086,0.2735381565906838,0.4636,translate
9,10,0.3755102040816326,0.5286343612334802,0.687015503875969,0.5782178217821782,0.5173116089613035,0.6098654708520179,0.4363256784968685,0.5894941634241245,0.2453798767967145,0.3716551040634291,0.4951,translate
5,10,0.1897959183673469,0.7577092511013216,0.5843023255813954,0.7237623762376237,0.4287169042769857,0.4630044843049327,0.5334029227557411,0.5603112840466926,0.4117043121149897,0.2368681863230921,0.4941,translate
10,10,0.1581632653061224,0.4079295154185022,0.5833333333333334,0.5851485148514851,0.5661914460285132,0.523542600896861,0.4227557411273486,0.6021400778210116,0.3172484599589322,0.3815659068384539,0.4552,translate
7,10,0.2724489795918367,0.4616740088105727,0.5988372093023255,0.5297029702970297,0.4918533604887983,0.5650224215246636,0.4843423799582463,0.6789883268482491,0.3655030800821355,0.2874132804757185,0.4739,translate
3,10,0.160204081632653,0.6237885462555066,0.4418604651162791,0.4722772277227722,0.4470468431771894,0.5168161434977578,0.4947807933194154,0.6439688715953308,0.2720739219712526,0.3468780971258672,0.4449,translate
6,10,0.2214285714285714,0.4678414096916299,0.6521317829457365,0.6831683168316832,0.5091649694501018,0.5975336322869955,0.4269311064718162,0.3715953307392996,0.2987679671457905,0.3072348860257681,0.4536,translate
99,10,0.1744897959183673,0.7101321585903083,0.6928294573643411,0.5356435643564357,0.5621181262729125,0.5179372197309418,0.3006263048016701,0.3297665369649805,0.1960985626283367,0.4618434093161546,0.4531,translate
